time,open,high,low,close,volume
2022-05-11 11:57:00,265.01332077,265.01332077,264.564416176,264.707866133,52840
2022-05-11 11:56:00,265.162955634,265.182906949,264.853710247,265.023296427,36202
2022-05-11 11:55:00,265.162955634,265.187495752,264.893612878,265.187495752,52720
2022-05-11 11:54:00,265.631811543,265.671714174,265.0532234,265.212833922,61698
2022-05-11 11:53:00,265.571957597,265.651762858,265.372444444,265.641787201,31593
2022-05-11 11:52:00,265.397383589,265.77147075,265.342517472,265.621835885,42472
2022-05-11 11:51:00,265.711616804,265.94105693,265.352592886,265.352592886,33440
2022-05-11 11:50:00,266.000511849,266.080716137,265.661838272,265.701641146,24246
2022-05-11 11:49:00,265.721592462,266.000910876,265.711616804,266.000910876,25599
2022-05-11 11:48:00,265.751519435,265.911129957,265.542030624,265.701641146,53421
2022-05-11 11:47:00,266.190448371,266.399937181,265.701641146,265.751519435,60131
2022-05-11 11:46:00,266.240326659,266.429864154,266.168402167,266.2280566,40732
2022-05-11 11:45:00,266.399937181,266.479742442,265.990935218,266.230351001,58048
2022-05-11 11:44:00,266.198827923,266.370010208,266.070740479,266.290204947,53952
2022-05-11 11:43:00,266.270253632,266.389961523,266.060764821,266.131591991,29464
2022-05-11 11:42:00,266.270253632,266.499693757,266.260277974,266.310156262,32817
2022-05-11 11:41:00,266.270253632,266.509669415,266.220375344,266.300180605,53010
2022-05-11 11:40:00,266.609425991,266.639352964,266.23533883,266.250302316,36827
2022-05-11 11:39:00,266.409912839,266.86879309,266.350058893,266.609425991,77221
2022-05-11 11:38:00,265.654157016,266.589474676,265.65375799,266.370010208,108260
2022-05-11 11:37:00,265.322566156,265.661738516,264.903588536,265.60188457,67701
2022-05-11 11:36:00,265.422322733,265.651762858,265.294235289,265.312590499,27251
2022-05-11 11:35:00,265.60248311,265.751519435,265.252736553,265.402371417,49398
2022-05-11 11:34:00,265.412347075,265.651762858,265.292639183,265.591908912,42026
2022-05-11 11:33:00,265.492152336,265.522079309,265.312590499,265.402371417,39418
2022-05-11 11:32:00,265.542030624,265.681689831,265.402371417,265.472201021,47511
2022-05-11 11:31:00,265.492152336,265.691665489,265.26271221,265.522079309,71297
2022-05-11 11:30:00,265.182906949,265.741543777,265.182906949,265.512103651,105731
2022-05-11 11:29:00,264.753953671,265.206449501,264.514537888,265.143004319,55152
2022-05-11 11:28:00,264.763929329,264.923539851,264.444708284,264.694099725,89311
2022-05-11 11:27:00,264.534489203,265.033272085,264.514537888,264.694099725,70996
2022-05-11 11:26:00,264.584367491,264.71405104,264.284299709,264.554440518,58661
